t,delivered_useful,delivered_storm,processed_useful,processed_storm,inbox_fill_mean
51.0,1023.2,16767.4,964.2,15605,0.611
52.0,1046.6,17155.2,983.8,15994.4,0.612
53.0,1069.4,17455.2,1003.4,16379.4,0.571
54.0,1089.6,17770.8,1022.6,16734.2,0.552
55.0,1106.2,18127.2,1046.4,17121.2,0.533
56.0,1126,18503.4,1069.2,17499.2,0.53
57.0,1145.6,18851,1094,17875.6,0.513
58.0,1164.2,19215,1112,18237,0.515
59.0,1183.6,19555.2,1130.2,18611,0.499
60.0,1204.2,19915.4,1151.8,18990.8,0.488
61.0,1223.6,20335.4,1172.6,19368.4,0.509
62.0,1244.6,20683.2,1193.4,19751.8,0.491
63.0,1261.4,21099.4,1214.2,20110.8,0.518
64.0,1281.4,21523.4,1233.6,20507.2,0.532
65.0,1302.4,21863.6,1252.4,20898,0.508
66.0,1324,22299,1271.8,21284,0.534
67.0,1344.8,22679,1291.6,21658.4,0.537
68.0,1364.6,23035.4,1309.2,22046,0.522
69.0,1382.4,23451.2,1330.2,22426.8,0.538
70.0,1400.4,23703.4,1349.6,22794.2,0.48
71.0,1418.4,24067.6,1370.4,23163,0.476
72.0,1437.8,24403.4,1388.6,23534.4,0.459
73.0,1456.8,24775.2,1410.4,23888.4,0.467
74.0,1475.4,25183.4,1430,24263.6,0.483
75.0,1493.2,25539.4,1447.6,24633,0.476
76.0,1515,25903.8,1464.2,25000.2,0.477
77.0,1533.2,26335.2,1480,25359.4,0.514
78.0,1555.8,26687.6,1501,25759.6,0.491
79.0,1574.6,27012,1524.6,26143.6,0.459
80.0,1593.6,27367.4,1546,26511.4,0.452
81.0,1611.6,27719.4,1565.6,26891.6,0.437
82.0,1630.6,28123.6,1585.8,27277.4,0.446
83.0,1653.6,28491.4,1608.8,27653.4,0.441
84.0,1676.4,28823.2,1627.8,28017.2,0.427
85.0,1697.6,29155.2,1648.8,28381.6,0.411
86.0,1716,29567,1666.8,28766.6,0.425
87.0,1733.6,29911.6,1689,29139.2,0.409
88.0,1755,30223.6,1713.2,29497.6,0.384
89.0,1775.6,30615.4,1735.8,29873.2,0.391
90.0,1794.8,30991,1755,30249.2,0.391
91.0,1819.4,31323.2,1776.6,30611.4,0.377
92.0,1843.4,31664,1799.4,30984.8,0.362
93.0,1861.6,32059.4,1820.8,31335.6,0.382
94.0,1882.8,32487,1843.2,31718,0.404
95.0,1904.8,32891.4,1862.8,32102.8,0.415
96.0,1924.8,33271.4,1881.8,32478.6,0.418
97.0,1945,33615.4,1900,32832.4,0.414
98.0,1961.8,33955,1921.2,33200.2,0.398
99.0,1978.8,34251.8,1939.8,33564.8,0.363
100.0,1998.2,34611.4,1960.6,33942.4,0.353
101.0,2016.2,34887.2,1980.6,34311.6,0.306
102.0,2035,35299.2,2003.8,34675.2,0.328
103.0,2056.2,35659.6,2026.2,35035.6,0.327
104.0,2075.6,36059.2,2043,35416.6,0.338
105.0,2095.2,36447.6,2060,35774.4,0.354
106.0,2119.6,36803,2078,36127.2,0.359
107.0,2135.4,37175.2,2101,36495.4,0.357
108.0,2155.6,37471.2,2122,36832,0.336
109.0,2177.2,37815.6,2141.6,37193,0.329
110.0,2194.2,38187.4,2161.2,37565.2,0.328
111.0,2215,38551.4,2178.4,37938,0.325
112.0,2234.8,39011.2,2200.8,38324.4,0.36
113.0,2255.8,39359.6,2218,38706,0.346
114.0,2279.6,39787.8,2241.4,39081,0.372
115.0,2298.2,40131.4,2260.4,39466.4,0.351
116.0,2315.6,40503.8,2280.6,39865,0.337
117.0,2336.4,40879.4,2300.6,40233,0.341
118.0,2359.8,41235.6,2321.4,40595.4,0.339
119.0,2376.2,41671.4,2341,40974.4,0.366
120.0,2393.6,42031.4,2358.8,41353.6,0.356
121.0,2415.2,42415.4,2377.6,41726.4,0.363
122.0,2437.6,42735.6,2398.8,42087.8,0.343
123.0,2453.8,43123,2418,42447,0.356
124.0,2473,43475.8,2438,42815.4,0.348
125.0,2495.4,43895.8,2454.8,43184.2,0.376
126.0,2517,44275,2475.4,43558.6,0.379
127.0,2532.8,44655.6,2500.6,43941.8,0.373
128.0,2551.2,45067.6,2517.4,44307.2,0.397
129.0,2572.8,45403,2533.4,44685.6,0.378
130.0,2592.6,45739.4,2555.6,45050.8,0.363
131.0,2610.8,46155.4,2574,45423.6,0.384
132.0,2630.4,46530.8,2593.4,45803,0.382
133.0,2648.8,46899.4,2611,46192.4,0.372
134.0,2671.2,47215,2627.6,46559.4,0.35
135.0,2690.4,47543.2,2651.4,46934.4,0.324
136.0,2711.2,47919.6,2673.4,47295.2,0.331
137.0,2735.4,48331.2,2695.8,47660.2,0.355
138.0,2755.2,48711.4,2720.2,48043.2,0.352
139.0,2781.4,49175.4,2740.2,48419.6,0.399
140.0,2802.4,49555.8,2760.8,48805.2,0.396
141.0,2818.8,49931.2,2780.8,49172.6,0.398
142.0,2838.4,50287.6,2798.2,49549.6,0.389
143.0,2859,50715.4,2821.2,49928.8,0.412
144.0,2881,51159.8,2842,50309,0.445
145.0,2902.8,51467.6,2857.4,50684.8,0.414
146.0,2925.8,51883.2,2876.2,51049.6,0.442
147.0,2945.8,52207.2,2896.8,51421.4,0.417
148.0,2965.4,52575.2,2918,51799.4,0.412
149.0,2986.4,52983,2941,52157,0.436
150.0,3005.4,53355.6,2962,52540.4,0.429
151.0,3025.2,53759.2,2980.4,52902.8,0.451
152.0,3048,54131.8,3001.4,53300.6,0.439
153.0,3063.2,54479.4,3020.4,53685.4,0.418
154.0,3082.4,54851.4,3043,54050.4,0.42
155.0,3099,55139.4,3058.4,54422.4,0.379
156.0,3118.6,55439.4,3084.4,54767,0.353
157.0,3138.8,55799.2,3101.8,55122.4,0.357
158.0,3162.6,56163.6,3122.2,55492.8,0.356
159.0,3183,56543.4,3143.2,55835.2,0.374
160.0,3200.8,56915.4,3163.6,56191.6,0.381
161.0,3223.6,57307,3182.4,56570.6,0.389
162.0,3246.2,57695.4,3203.4,56937,0.401
163.0,3268.8,58107.2,3224.4,57311.6,0.42
164.0,3287.4,58407.2,3245.6,57691.4,0.379
165.0,3306.4,58759.2,3266.8,58061.2,0.369
166.0,3323.4,59219.2,3284.6,58431.6,0.413
167.0,3344.8,59527.4,3305.6,58799.4,0.384
168.0,3366.8,59934.8,3325.6,59168.2,0.404
169.0,3389.8,60239.4,3345.6,59533.4,0.375
170.0,3406.8,60639.4,3366.8,59906,0.387
171.0,3424.2,61035.4,3384.2,60277.8,0.399
172.0,3441,61423.2,3404.4,60671.4,0.394
173.0,3460.4,61855.6,3425,61046.8,0.422
174.0,3480.4,62259.2,3441.2,61413,0.443
175.0,3500.4,62559.4,3459.2,61796.6,0.402
176.0,3521.4,62923,3478.6,62160.2,0.403
177.0,3539,63275.6,3499.4,62536.4,0.389
178.0,3561.8,63623.2,3518.2,62901,0.383
179.0,3583.4,63955.4,3538.2,63271.8,0.364
180.0,3600.4,64271.6,3558.6,63634.4,0.34
181.0,3623.2,64615.4,3580.8,63998,0.33
182.0,3645.6,64927.2,3605,64352.4,0.308
183.0,3665.6,65275,3629.6,64703.4,0.304
184.0,3686.6,65603.6,3651.8,65052.4,0.293
185.0,3709.4,65991.4,3673.6,65415.6,0.306
186.0,3728.8,66399,3694.8,65795.8,0.319
187.0,3747.2,66775.4,3713.2,66168.6,0.32
188.0,3767,67159.4,3732.4,66525.6,0.334
189.0,3788,67531.4,3752.4,66891.6,0.338
190.0,3811,67923.4,3777.6,67261,0.348
191.0,3833.2,68303.2,3795.8,67634.4,0.353
192.0,3854,68683.2,3815.2,68002.6,0.36
193.0,3874,69015.4,3836.4,68387.4,0.333
194.0,3893.8,69439,3857.8,68762.8,0.356
195.0,3913.2,69859.6,3875.6,69146.4,0.375
196.0,3933.4,70295.4,3896.2,69531.2,0.401
197.0,3951.2,70691.6,3914,69891.2,0.419
198.0,3970.2,71059.4,3933,70257.6,0.419
199.0,3989,71431.2,3952.2,70639.8,0.414
200.0,4009.4,71775.4,3970.6,71032.2,0.391
